"icd_10_cm","description","ccs_diagnosis_category","ccs_description"
"A5219","Other symptomatic neurosyphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A522","Asymptomatic neurosyphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A523","Neurosyphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5271","Late syphilitic oculopathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5272","Syphilis of lung and bronchus",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5273","Symptomatic late syphilis of other respiratory organs",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5274","Syphilis of liver and other viscera",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5275","Syphilis of kidney and ureter",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5276","Other genitourinary symptomatic late syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5277","Syphilis of bone and joint",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5278","Syphilis of other musculoskeletal tissue",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5279","Other symptomatic late syphilis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A528","Late syphilis, latent",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A529","Late syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A530","Latent syphilis, unspecified as early or late",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A539","Syphilis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5400","Gonococcal infection of lower genitourinary tract, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5401","Gonococcal cystitis and urethritis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5402","Gonococcal vulvovaginitis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5403","Gonococcal cervicitis, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5409","Other gonococcal infection of lower genitourinary tract",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A541","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5421","Gonococcal infection of kidney and ureter",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5422","Gonococcal prostatitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5423","Gonococcal infection of other male genital organs",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5424","Gonococcal female pelvic inflammatory disease",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5429","Other gonococcal genitourinary infections",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5430","Gonococcal infection of eye, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5431","Gonococcal conjunctivitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5432","Gonococcal iridocyclitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5433","Gonococcal keratitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5439","Other gonococcal eye infection",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5440","Gonococcal infection of musculoskeletal system, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5441","Gonococcal spondylopathy",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5442","Gonococcal arthritis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5443","Gonococcal osteomyelitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5449","Gonococcal infection of other musculoskeletal tissue",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A545","Gonococcal pharyngitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A546","Gonococcal infection of anus and rectum",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5481","Gonococcal meningitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5482","Gonococcal brain abscess",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5483","Gonococcal heart infection",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5484","Gonococcal pneumonia",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5485","Gonococcal peritonitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5486","Gonococcal sepsis",2,"Septicemia (except in labor)"
"A5489","Other gonococcal infections",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A549","Gonococcal infection, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A55","Chlamydial lymphogranuloma (venereum)",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5600","Chlamydial infection of lower genitourinary tract, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5601","Chlamydial cystitis and urethritis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5602","Chlamydial vulvovaginitis",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5609","Other chlamydial infection of lower genitourinary tract",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5611","Chlamydial female pelvic inflammatory disease",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5619","Other chlamydial genitourinary infection",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A562","Chlamydial infection of genitourinary tract, unspecified",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A563","Chlamydial infection of anus and rectum",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A564","Chlamydial infection of pharynx",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A568","Sexually transmitted chlamydial infection of other sites",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A57","Chancroid",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A58","Granuloma inguinale",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A5900","Urogenital trichomoniasis, unspecified",8,"Other infections; including parasitic"
"A5901","Trichomonal vulvovaginitis",8,"Other infections; including parasitic"
"A5902","Trichomonal prostatitis",8,"Other infections; including parasitic"
"A5903","Trichomonal cystitis and urethritis",8,"Other infections; including parasitic"
"A5909","Other urogenital trichomoniasis",8,"Other infections; including parasitic"
"A598","Trichomoniasis of other sites",8,"Other infections; including parasitic"
"A599","Trichomoniasis, unspecified",8,"Other infections; including parasitic"
"A6000","Herpesviral infection of urogenital system, unspecified",7,"Viral infection"
"A6001","Herpesviral infection of penis",7,"Viral infection"
"A6002","Herpesviral infection of other male genital organs",7,"Viral infection"
"A6003","Herpesviral cervicitis",7,"Viral infection"
"A6004","Herpesviral vulvovaginitis",7,"Viral infection"
"A6009","Herpesviral infection of other urogenital tract",7,"Viral infection"
"A601","Herpesviral infection of perianal skin and rectum",7,"Viral infection"
"A609","Anogenital herpesviral infection, unspecified",7,"Viral infection"
"A630","Anogenital (venereal) warts",7,"Viral infection"
"A638","Other specified predominantly sexually transmitted diseases",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A64","Unspecified sexually transmitted disease",9,"Sexually transmitted infections (not HIV or hepatitis)"
"A65","Nonvenereal syphilis",8,"Other infections; including parasitic"
"A660","Initial lesions of yaws",8,"Other infections; including parasitic"
"A661","Multiple papillomata and wet crab yaws",8,"Other infections; including parasitic"
"A662","Other early skin lesions of yaws",8,"Other infections; including parasitic"
"A663","Hyperkeratosis of yaws",8,"Other infections; including parasitic"
"A664","Gummata and ulcers of yaws",8,"Other infections; including parasitic"
"A665","Gangosa",8,"Other infections; including parasitic"
"A666","Bone and joint lesions of yaws",8,"Other infections; including parasitic"
"A667","Other manifestations of yaws",8,"Other infections; including parasitic"
"A668","Latent yaws",8,"Other infections; including parasitic"
"A669","Yaws, unspecified",8,"Other infections; including parasitic"
"A670","Primary lesions of pinta",8,"Other infections; including parasitic"
"A671","Intermediate lesions of pinta",8,"Other infections; including parasitic"
"A672","Late lesions of pinta",8,"Other infections; including parasitic"
"A673","Mixed lesions of pinta",8,"Other infections; including parasitic"
"A679","Pinta, unspecified",8,"Other infections; including parasitic"
"A680","Louse-borne relapsing fever",8,"Other infections; including parasitic"
"A681","Tick-borne relapsing fever",8,"Other infections; including parasitic"
"A689","Relapsing fever, unspecified",8,"Other infections; including parasitic"
"A690","Necrotizing ulcerative stomatitis",8,"Other infections; including parasitic"
"A691","Other Vincent's infections",8,"Other infections; including parasitic"
"A6920","Lyme disease, unspecified",8,"Other infections; including parasitic"
"A6921","Meningitis due to Lyme disease",76,"Meningitis (except that caused by tuberculosis or sexually transmitted disease)"
"A6922","Other neurologic disorders in Lyme disease",8,"Other infections; including parasitic"
"A6923","Arthritis due to Lyme disease",201,"Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)"
"A6929","Other conditions associated with Lyme disease",8,"Other infections; including parasitic"
"A698","Other specified spirochetal infections",8,"Other infections; including parasitic"
"A699","Spirochetal infection, unspecified",8,"Other infections; including parasitic"
"A70","Chlamydia psittaci infections",3,"Bacterial infection; unspecified site"
"A710","Initial stage of trachoma",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)"
"A711","Active stage of trachoma",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)"
"A719","Trachoma, unspecified",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)"
"A740","Chlamydial conjunctivitis",90,"Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)"
"A7481","Chlamydial peritonitis",148,"Peritonitis and intestinal abscess"
"A7489","Other chlamydial diseases",3,"Bacterial infection; unspecified site"
"A749","Chlamydial infection, unspecified",3,"Bacterial infection; unspecified site"
"A750","Epidemic louse-borne typhus fever due to Rickettsia prowazekii",8,"Other infections; including parasitic"
"A751","Recrudescent typhus [Brill's disease]",8,"Other infections; including parasitic"
"A752","Typhus fever due to Rickettsia typhi",8,"Other infections; including parasitic"
"A753","Typhus fever due to Rickettsia tsutsugamushi",8,"Other infections; including parasitic"
"A759","Typhus fever, unspecified",8,"Other infections; including parasitic"
"A770","Spotted fever due to Rickettsia rickettsii",8,"Other infections; including parasitic"
"A771","Spotted fever due to Rickettsia conorii",8,"Other infections; including parasitic"
"A772","Spotted fever due to Rickettsia siberica",8,"Other infections; including parasitic"
"A773","Spotted fever due to Rickettsia australis",8,"Other infections; including parasitic"
"A7740","Ehrlichiosis, unspecified",8,"Other infections; including parasitic"
"A7741","Ehrlichiosis chafeensis [E. chafeensis]",8,"Other infections; including parasitic"
"A7749","Other ehrlichiosis",8,"Other infections; including parasitic"
"A778","Other spotted fevers",8,"Other infections; including parasitic"
"A779","Spotted fever, unspecified",8,"Other infections; including parasitic"
"A78","Q fever",3,"Bacterial infection; unspecified site"
"A790","Trench fever",8,"Other infections; including parasitic"
"A791","Rickettsialpox due to Rickettsia akari",8,"Other infections; including parasitic"
"A7981","Rickettsiosis due to Ehrlichia sennetsu",8,"Other infections; including parasitic"
"A7989","Other specified rickettsioses",8,"Other infections; including parasitic"
"A799","Rickettsiosis, unspecified",8,"Other infections; including parasitic"
"A800","Acute paralytic poliomyelitis, vaccine-associated",78,"Other CNS infection and poliomyelitis"
"A801","Acute paralytic poliomyelitis, wild virus, imported",78,"Other CNS infection and poliomyelitis"
"A802","Acute paralytic poliomyelitis, wild virus, indigenous",78,"Other CNS infection and poliomyelitis"
"A8030","Acute paralytic poliomyelitis, unspecified",78,"Other CNS infection and poliomyelitis"
"A8039","Other acute paralytic poliomyelitis",78,"Other CNS infection and poliomyelitis"
"A804","Acute nonparalytic poliomyelitis",78,"Other CNS infection and poliomyelitis"
"A809","Acute poliomyelitis, unspecified",78,"Other CNS infection and poliomyelitis"
"A8100","Creutzfeldt-Jakob disease, unspecified",78,"Other CNS infection and poliomyelitis"
"A8101","Variant Creutzfeldt-Jakob disease",78,"Other CNS infection and poliomyelitis"
"A8109","Other Creutzfeldt-Jakob disease",78,"Other CNS infection and poliomyelitis"
"A811","Subacute sclerosing panencephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A812","Progressive multifocal leukoencephalopathy",78,"Other CNS infection and poliomyelitis"
"A8181","Kuru",78,"Other CNS infection and poliomyelitis"
"A8182","Gerstmann-Straussler-Scheinker syndrome",78,"Other CNS infection and poliomyelitis"
"A8183","Fatal familial insomnia",78,"Other CNS infection and poliomyelitis"
"A8189","Other atypical virus infections of central nervous system",78,"Other CNS infection and poliomyelitis"
"A819","Atypical virus infection of central nervous system, unspecified",78,"Other CNS infection and poliomyelitis"
"A820","Sylvatic rabies",7,"Viral infection"
"A821","Urban rabies",7,"Viral infection"
"A829","Rabies, unspecified",7,"Viral infection"
"A830","Japanese encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A831","Western equine encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A832","Eastern equine encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A833","St Louis encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A834","Australian encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
"A835","California encephalitis",77,"Encephalitis (except that caused by tuberculosis or sexually transmitted disease)"
