"icd_10_cm","valid_flag","short_description","long_description"
"A5057",1,"Syphilitic saddle nose","Syphilitic saddle nose"
"A5059",1,"Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic"
"A506",1,"Late congenital syphilis, latent","Late congenital syphilis, latent"
"A507",1,"Late congenital syphilis, unspecified","Late congenital syphilis, unspecified"
"A509",1,"Congenital syphilis, unspecified","Congenital syphilis, unspecified"
"A51",0,"Early syphilis","Early syphilis"
"A510",1,"Primary genital syphilis","Primary genital syphilis"
"A511",1,"Primary anal syphilis","Primary anal syphilis"
"A512",1,"Primary syphilis of other sites","Primary syphilis of other sites"
"A513",0,"Secondary syphilis of skin and mucous membranes","Secondary syphilis of skin and mucous membranes"
"A5131",1,"Condyloma latum","Condyloma latum"
"A5132",1,"Syphilitic alopecia","Syphilitic alopecia"
"A5139",1,"Other secondary syphilis of skin","Other secondary syphilis of skin"
"A514",0,"Other secondary syphilis","Other secondary syphilis"
"A5141",1,"Secondary syphilitic meningitis","Secondary syphilitic meningitis"
"A5142",1,"Secondary syphilitic female pelvic disease","Secondary syphilitic female pelvic disease"
"A5143",1,"Secondary syphilitic oculopathy","Secondary syphilitic oculopathy"
"A5144",1,"Secondary syphilitic nephritis","Secondary syphilitic nephritis"
"A5145",1,"Secondary syphilitic hepatitis","Secondary syphilitic hepatitis"
"A5146",1,"Secondary syphilitic osteopathy","Secondary syphilitic osteopathy"
"A5149",1,"Other secondary syphilitic conditions","Other secondary syphilitic conditions"
"A515",1,"Early syphilis, latent","Early syphilis, latent"
"A519",1,"Early syphilis, unspecified","Early syphilis, unspecified"
"A52",0,"Late syphilis","Late syphilis"
"A520",0,"Cardiovascular and cerebrovascular syphilis","Cardiovascular and cerebrovascular syphilis"
"A5200",1,"Cardiovascular syphilis, unspecified","Cardiovascular syphilis, unspecified"
"A5201",1,"Syphilitic aneurysm of aorta","Syphilitic aneurysm of aorta"
"A5202",1,"Syphilitic aortitis","Syphilitic aortitis"
"A5203",1,"Syphilitic endocarditis","Syphilitic endocarditis"
"A5204",1,"Syphilitic cerebral arteritis","Syphilitic cerebral arteritis"
"A5205",1,"Other cerebrovascular syphilis","Other cerebrovascular syphilis"
"A5206",1,"Other syphilitic heart involvement","Other syphilitic heart involvement"
"A5209",1,"Other cardiovascular syphilis","Other cardiovascular syphilis"
"A521",0,"Symptomatic neurosyphilis","Symptomatic neurosyphilis"
"A5210",1,"Symptomatic neurosyphilis, unspecified","Symptomatic neurosyphilis, unspecified"
"A5211",1,"Tabes dorsalis","Tabes dorsalis"
"A5212",1,"Other cerebrospinal syphilis","Other cerebrospinal syphilis"
"A5213",1,"Late syphilitic meningitis","Late syphilitic meningitis"
"A5214",1,"Late syphilitic encephalitis","Late syphilitic encephalitis"
"A5215",1,"Late syphilitic neuropathy","Late syphilitic neuropathy"
"A5216",1,"Charcot's arthropathy (tabetic)","Charcot's arthropathy (tabetic)"
"A5217",1,"General paresis","General paresis"
"A5219",1,"Other symptomatic neurosyphilis","Other symptomatic neurosyphilis"
"A522",1,"Asymptomatic neurosyphilis","Asymptomatic neurosyphilis"
"A523",1,"Neurosyphilis, unspecified","Neurosyphilis, unspecified"
"A527",0,"Other symptomatic late syphilis","Other symptomatic late syphilis"
"A5271",1,"Late syphilitic oculopathy","Late syphilitic oculopathy"
"A5272",1,"Syphilis of lung and bronchus","Syphilis of lung and bronchus"
"A5273",1,"Symptomatic late syphilis of other respiratory organs","Symptomatic late syphilis of other respiratory organs"
"A5274",1,"Syphilis of liver and other viscera","Syphilis of liver and other viscera"
"A5275",1,"Syphilis of kidney and ureter","Syphilis of kidney and ureter"
"A5276",1,"Other genitourinary symptomatic late syphilis","Other genitourinary symptomatic late syphilis"
"A5277",1,"Syphilis of bone and joint","Syphilis of bone and joint"
"A5278",1,"Syphilis of other musculoskeletal tissue","Syphilis of other musculoskeletal tissue"
"A5279",1,"Other symptomatic late syphilis","Other symptomatic late syphilis"
"A528",1,"Late syphilis, latent","Late syphilis, latent"
"A529",1,"Late syphilis, unspecified","Late syphilis, unspecified"
"A53",0,"Other and unspecified syphilis","Other and unspecified syphilis"
"A530",1,"Latent syphilis, unspecified as early or late","Latent syphilis, unspecified as early or late"
"A539",1,"Syphilis, unspecified","Syphilis, unspecified"
"A54",0,"Gonococcal infection","Gonococcal infection"
"A540",0,"Gonocl infct of low GU tract w/o periureth or acc glnd abcs","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"
"A5400",1,"Gonococcal infection of lower genitourinary tract, unsp","Gonococcal infection of lower genitourinary tract, unspecified"
"A5401",1,"Gonococcal cystitis and urethritis, unspecified","Gonococcal cystitis and urethritis, unspecified"
"A5402",1,"Gonococcal vulvovaginitis, unspecified","Gonococcal vulvovaginitis, unspecified"
"A5403",1,"Gonococcal cervicitis, unspecified","Gonococcal cervicitis, unspecified"
"A5409",1,"Other gonococcal infection of lower genitourinary tract","Other gonococcal infection of lower genitourinary tract"
"A541",1,"Gonocl infct of lower GU tract w periureth and acc glnd abcs","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"
"A542",0,"Gonococcal pelviperitonitis and oth gonococcal GU infection","Gonococcal pelviperitonitis and other gonococcal genitourinary infection"
"A5421",1,"Gonococcal infection of kidney and ureter","Gonococcal infection of kidney and ureter"
"A5422",1,"Gonococcal prostatitis","Gonococcal prostatitis"
"A5423",1,"Gonococcal infection of other male genital organs","Gonococcal infection of other male genital organs"
"A5424",1,"Gonococcal female pelvic inflammatory disease","Gonococcal female pelvic inflammatory disease"
"A5429",1,"Other gonococcal genitourinary infections","Other gonococcal genitourinary infections"
"A543",0,"Gonococcal infection of eye","Gonococcal infection of eye"
"A5430",1,"Gonococcal infection of eye, unspecified","Gonococcal infection of eye, unspecified"
"A5431",1,"Gonococcal conjunctivitis","Gonococcal conjunctivitis"
"A5432",1,"Gonococcal iridocyclitis","Gonococcal iridocyclitis"
"A5433",1,"Gonococcal keratitis","Gonococcal keratitis"
"A5439",1,"Other gonococcal eye infection","Other gonococcal eye infection"
"A544",0,"Gonococcal infection of musculoskeletal system","Gonococcal infection of musculoskeletal system"
"A5440",1,"Gonococcal infection of musculoskeletal system, unspecified","Gonococcal infection of musculoskeletal system, unspecified"
"A5441",1,"Gonococcal spondylopathy","Gonococcal spondylopathy"
"A5442",1,"Gonococcal arthritis","Gonococcal arthritis"
"A5443",1,"Gonococcal osteomyelitis","Gonococcal osteomyelitis"
"A5449",1,"Gonococcal infection of other musculoskeletal tissue","Gonococcal infection of other musculoskeletal tissue"
"A545",1,"Gonococcal pharyngitis","Gonococcal pharyngitis"
"A546",1,"Gonococcal infection of anus and rectum","Gonococcal infection of anus and rectum"
"A548",0,"Other gonococcal infections","Other gonococcal infections"
"A5481",1,"Gonococcal meningitis","Gonococcal meningitis"
"A5482",1,"Gonococcal brain abscess","Gonococcal brain abscess"
"A5483",1,"Gonococcal heart infection","Gonococcal heart infection"
"A5484",1,"Gonococcal pneumonia","Gonococcal pneumonia"
"A5485",1,"Gonococcal peritonitis","Gonococcal peritonitis"
"A5486",1,"Gonococcal sepsis","Gonococcal sepsis"
"A5489",1,"Other gonococcal infections","Other gonococcal infections"
"A549",1,"Gonococcal infection, unspecified","Gonococcal infection, unspecified"
"A55",1,"Chlamydial lymphogranuloma (venereum)","Chlamydial lymphogranuloma (venereum)"
"A56",0,"Other sexually transmitted chlamydial diseases","Other sexually transmitted chlamydial diseases"
"A560",0,"Chlamydial infection of lower genitourinary tract","Chlamydial infection of lower genitourinary tract"
"A5600",1,"Chlamydial infection of lower genitourinary tract, unsp","Chlamydial infection of lower genitourinary tract, unspecified"
"A5601",1,"Chlamydial cystitis and urethritis","Chlamydial cystitis and urethritis"
"A5602",1,"Chlamydial vulvovaginitis","Chlamydial vulvovaginitis"
"A5609",1,"Other chlamydial infection of lower genitourinary tract","Other chlamydial infection of lower genitourinary tract"
"A561",0,"Chlamydial infection of pelviperitoneum and oth GU organs","Chlamydial infection of pelviperitoneum and other genitourinary organs"
"A5611",1,"Chlamydial female pelvic inflammatory disease","Chlamydial female pelvic inflammatory disease"
"A5619",1,"Other chlamydial genitourinary infection","Other chlamydial genitourinary infection"
"A562",1,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract, unspecified"
"A563",1,"Chlamydial infection of anus and rectum","Chlamydial infection of anus and rectum"
"A564",1,"Chlamydial infection of pharynx","Chlamydial infection of pharynx"
"A568",1,"Sexually transmitted chlamydial infection of other sites","Sexually transmitted chlamydial infection of other sites"
"A57",1,"Chancroid","Chancroid"
"A58",1,"Granuloma inguinale","Granuloma inguinale"
"A59",0,"Trichomoniasis","Trichomoniasis"
"A590",0,"Urogenital trichomoniasis","Urogenital trichomoniasis"
"A5900",1,"Urogenital trichomoniasis, unspecified","Urogenital trichomoniasis, unspecified"
"A5901",1,"Trichomonal vulvovaginitis","Trichomonal vulvovaginitis"
"A5902",1,"Trichomonal prostatitis","Trichomonal prostatitis"
"A5903",1,"Trichomonal cystitis and urethritis","Trichomonal cystitis and urethritis"
"A5909",1,"Other urogenital trichomoniasis","Other urogenital trichomoniasis"
"A598",1,"Trichomoniasis of other sites","Trichomoniasis of other sites"
"A599",1,"Trichomoniasis, unspecified","Trichomoniasis, unspecified"
"A60",0,"Anogenital herpesviral [herpes simplex] infections","Anogenital herpesviral [herpes simplex] infections"
"A600",0,"Herpesviral infection of genitalia and urogenital tract","Herpesviral infection of genitalia and urogenital tract"
"A6000",1,"Herpesviral infection of urogenital system, unspecified","Herpesviral infection of urogenital system, unspecified"
"A6001",1,"Herpesviral infection of penis","Herpesviral infection of penis"
"A6002",1,"Herpesviral infection of other male genital organs","Herpesviral infection of other male genital organs"
"A6003",1,"Herpesviral cervicitis","Herpesviral cervicitis"
"A6004",1,"Herpesviral vulvovaginitis","Herpesviral vulvovaginitis"
"A6009",1,"Herpesviral infection of other urogenital tract","Herpesviral infection of other urogenital tract"
"A601",1,"Herpesviral infection of perianal skin and rectum","Herpesviral infection of perianal skin and rectum"
"A609",1,"Anogenital herpesviral infection, unspecified","Anogenital herpesviral infection, unspecified"
"A63",0,"Oth predominantly sexually transmitted diseases, NEC","Other predominantly sexually transmitted diseases, not elsewhere classified"
"A630",1,"Anogenital (venereal) warts","Anogenital (venereal) warts"
"A638",1,"Other specified predominantly sexually transmitted diseases","Other specified predominantly sexually transmitted diseases"
"A64",1,"Unspecified sexually transmitted disease","Unspecified sexually transmitted disease"
"A65",1,"Nonvenereal syphilis","Nonvenereal syphilis"
"A66",0,"Yaws","Yaws"
"A660",1,"Initial lesions of yaws","Initial lesions of yaws"
"A661",1,"Multiple papillomata and wet crab yaws","Multiple papillomata and wet crab yaws"
"A662",1,"Other early skin lesions of yaws","Other early skin lesions of yaws"
"A663",1,"Hyperkeratosis of yaws","Hyperkeratosis of yaws"
"A664",1,"Gummata and ulcers of yaws","Gummata and ulcers of yaws"
"A665",1,"Gangosa","Gangosa"
"A666",1,"Bone and joint lesions of yaws","Bone and joint lesions of yaws"
"A667",1,"Other manifestations of yaws","Other manifestations of yaws"
"A668",1,"Latent yaws","Latent yaws"
"A669",1,"Yaws, unspecified","Yaws, unspecified"
"A67",0,"Pinta [carate]","Pinta [carate]"
"A670",1,"Primary lesions of pinta","Primary lesions of pinta"
"A671",1,"Intermediate lesions of pinta","Intermediate lesions of pinta"
"A672",1,"Late lesions of pinta","Late lesions of pinta"
"A673",1,"Mixed lesions of pinta","Mixed lesions of pinta"
"A679",1,"Pinta, unspecified","Pinta, unspecified"
"A68",0,"Relapsing fevers","Relapsing fevers"
"A680",1,"Louse-borne relapsing fever","Louse-borne relapsing fever"
"A681",1,"Tick-borne relapsing fever","Tick-borne relapsing fever"
"A689",1,"Relapsing fever, unspecified","Relapsing fever, unspecified"
"A69",0,"Other spirochetal infections","Other spirochetal infections"
"A690",1,"Necrotizing ulcerative stomatitis","Necrotizing ulcerative stomatitis"
"A691",1,"Other Vincent's infections","Other Vincent's infections"
"A692",0,"Lyme disease","Lyme disease"
"A6920",1,"Lyme disease, unspecified","Lyme disease, unspecified"
"A6921",1,"Meningitis due to Lyme disease","Meningitis due to Lyme disease"
"A6922",1,"Other neurologic disorders in Lyme disease","Other neurologic disorders in Lyme disease"
"A6923",1,"Arthritis due to Lyme disease","Arthritis due to Lyme disease"
"A6929",1,"Other conditions associated with Lyme disease","Other conditions associated with Lyme disease"
"A698",1,"Other specified spirochetal infections","Other specified spirochetal infections"
"A699",1,"Spirochetal infection, unspecified","Spirochetal infection, unspecified"
"A70",1,"Chlamydia psittaci infections","Chlamydia psittaci infections"
"A71",0,"Trachoma","Trachoma"
"A710",1,"Initial stage of trachoma","Initial stage of trachoma"
"A711",1,"Active stage of trachoma","Active stage of trachoma"
"A719",1,"Trachoma, unspecified","Trachoma, unspecified"
"A74",0,"Other diseases caused by chlamydiae","Other diseases caused by chlamydiae"
"A740",1,"Chlamydial conjunctivitis","Chlamydial conjunctivitis"
"A748",0,"Other chlamydial diseases","Other chlamydial diseases"
"A7481",1,"Chlamydial peritonitis","Chlamydial peritonitis"
"A7489",1,"Other chlamydial diseases","Other chlamydial diseases"
"A749",1,"Chlamydial infection, unspecified","Chlamydial infection, unspecified"
"A75",0,"Typhus fever","Typhus fever"
"A750",1,"Epidemic louse-borne typhus fever d/t Rickettsia prowazekii","Epidemic louse-borne typhus fever due to Rickettsia prowazekii"
"A751",1,"Recrudescent typhus [Brill's disease]","Recrudescent typhus [Brill's disease]"
"A752",1,"Typhus fever due to Rickettsia typhi","Typhus fever due to Rickettsia typhi"
"A753",1,"Typhus fever due to Rickettsia tsutsugamushi","Typhus fever due to Rickettsia tsutsugamushi"
"A759",1,"Typhus fever, unspecified","Typhus fever, unspecified"
"A77",0,"Spotted fever [tick-borne rickettsioses]","Spotted fever [tick-borne rickettsioses]"
"A770",1,"Spotted fever due to Rickettsia rickettsii","Spotted fever due to Rickettsia rickettsii"
"A771",1,"Spotted fever due to Rickettsia conorii","Spotted fever due to Rickettsia conorii"
"A772",1,"Spotted fever due to Rickettsia siberica","Spotted fever due to Rickettsia siberica"
"A773",1,"Spotted fever due to Rickettsia australis","Spotted fever due to Rickettsia australis"
"A774",0,"Ehrlichiosis","Ehrlichiosis"
"A7740",1,"Ehrlichiosis, unspecified","Ehrlichiosis, unspecified"
"A7741",1,"Ehrlichiosis chafeensis [E. chafeensis]","Ehrlichiosis chafeensis [E. chafeensis]"
"A7749",1,"Other ehrlichiosis","Other ehrlichiosis"
"A778",1,"Other spotted fevers","Other spotted fevers"
"A779",1,"Spotted fever, unspecified","Spotted fever, unspecified"
"A78",1,"Q fever","Q fever"
"A79",0,"Other rickettsioses","Other rickettsioses"
