"icd_10_cm","valid_flag","short_description","long_description"
"H9190",1,"Unspecified hearing loss, unspecified ear","Unspecified hearing loss, unspecified ear"
"H9191",1,"Unspecified hearing loss, right ear","Unspecified hearing loss, right ear"
"H9192",1,"Unspecified hearing loss, left ear","Unspecified hearing loss, left ear"
"H9193",1,"Unspecified hearing loss, bilateral","Unspecified hearing loss, bilateral"
"H92",0,"Otalgia and effusion of ear","Otalgia and effusion of ear"
"H920",0,"Otalgia","Otalgia"
"H9201",1,"Otalgia, right ear","Otalgia, right ear"
"H9202",1,"Otalgia, left ear","Otalgia, left ear"
"H9203",1,"Otalgia, bilateral","Otalgia, bilateral"
"H9209",1,"Otalgia, unspecified ear","Otalgia, unspecified ear"
"H921",0,"Otorrhea","Otorrhea"
"H9210",1,"Otorrhea, unspecified ear","Otorrhea, unspecified ear"
"H9211",1,"Otorrhea, right ear","Otorrhea, right ear"
"H9212",1,"Otorrhea, left ear","Otorrhea, left ear"
"H9213",1,"Otorrhea, bilateral","Otorrhea, bilateral"
"H922",0,"Otorrhagia","Otorrhagia"
"H9220",1,"Otorrhagia, unspecified ear","Otorrhagia, unspecified ear"
"H9221",1,"Otorrhagia, right ear","Otorrhagia, right ear"
"H9222",1,"Otorrhagia, left ear","Otorrhagia, left ear"
"H9223",1,"Otorrhagia, bilateral","Otorrhagia, bilateral"
"H93",0,"Other disorders of ear, not elsewhere classified","Other disorders of ear, not elsewhere classified"
"H930",0,"Degenerative and vascular disorders of ear","Degenerative and vascular disorders of ear"
"H9301",0,"Transient ischemic deafness","Transient ischemic deafness"
"H93011",1,"Transient ischemic deafness, right ear","Transient ischemic deafness, right ear"
"H93012",1,"Transient ischemic deafness, left ear","Transient ischemic deafness, left ear"
"H93013",1,"Transient ischemic deafness, bilateral","Transient ischemic deafness, bilateral"
"H93019",1,"Transient ischemic deafness, unspecified ear","Transient ischemic deafness, unspecified ear"
"H9309",0,"Unspecified degenerative and vascular disorders of ear","Unspecified degenerative and vascular disorders of ear"
"H93091",1,"Unspecified degenerative and vascular disorders of right ear","Unspecified degenerative and vascular disorders of right ear"
"H93092",1,"Unspecified degenerative and vascular disorders of left ear","Unspecified degenerative and vascular disorders of left ear"
"H93093",1,"Unsp degenerative and vascular disorders of ear, bilateral","Unspecified degenerative and vascular disorders of ear, bilateral"
"H93099",1,"Unsp degenerative and vascular disorders of unspecified ear","Unspecified degenerative and vascular disorders of unspecified ear"
"H931",0,"Tinnitus","Tinnitus"
"H9311",1,"Tinnitus, right ear","Tinnitus, right ear"
"H9312",1,"Tinnitus, left ear","Tinnitus, left ear"
"H9313",1,"Tinnitus, bilateral","Tinnitus, bilateral"
